sample.samplingPoint,longitude,latitude,area,subarea
NW-88022212,-2.837938,54.628015,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-B
NW-88006340,-2.919699,54.904378,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-B
NW-88024642,-2.774664,54.88189,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-B
NW-88006266,-2.648177,54.700193,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-B
SO-E0017473,0.874177,51.442232,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-9
SO-RSN1529,-1.463093,51.156083,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-RSN0525,-0.612942,51.051667,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-J
SO-RSN0537,-0.118229,50.954187,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-H
SO-RSN0421,0.04821,51.096665,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-RSN0501,0.533064,51.053408,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-RSN0009,0.514675,51.246534,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-RSN1509,0.725774,50.933862,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-G0003562,-1.357476,50.861224,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-9
